source_id,statut_source,organisme,jeu,url,format,couverture,frequence,derniere_verification,licence,classe_juridique,redistribution,variables_cles,geographie,qualite,methode_extraction,contact
SRC-011,Intégrée,PAM (WFP),"Haiti Food Prices — registre des marchés (182) et série des prix de détail (14 140 relevés, janvier 2005 à juillet 2025)",https://data.humdata.org/dataset/wfp-food-prices-for-haiti,CSV — wfp_markets_hti.csv et wfp_food_prices_hti.csv,"182 marchés au registre ; prix relevés sur 12 marchés seulement, dans 9 communes sur 140. Série dense et mensuelle de 2005 à 2024 ; les 9 marchés historiques s'arrêtent au 15/12/2024, le seul relevé de 2025 porte sur 3 marchés de Jérémie ouverts en juillet",Mensuelle — mise à jour du jeu tous les 30 jours,2026-08-13,CC BY-IGO,A — redistribution autorisée avec attribution,"Oui, avec attribution","date, marché, catégorie, produit, unité, type de prix, devise, prix en HTG, prix en USD",Point ; section communale calculée par Atmart,"A pour le relevé (observation directe de marché), B pour l'indicateur dérivé","build_prix_marches.py — zone source horodatée 2026-08-13, empreintes SHA-256 vérifiées à chaque exécution. Téléchargée par l'API CKAN de HDX, que le navigateur atteint et qu'un récupérateur de pages sans en-tête de navigateur voit en 403.",
SRC-012,Identifiée — non ouverte,HOT / Global Healthsites,OpenStreetMap — établissements de santé et écoles d'Haïti,https://data.humdata.org/dataset/hotosm_hti_health_facilities,"GeoJSON, SHP","Couverture nationale, mise à jour continue — plus récente que les sources OCHA",Continue,2026-07-31,ODbL,B — ECARTÉ des produits payants : le partage à l'identique d'ODbL est incompatible avec une licence Atmart propriétaire. Utilisable seulement dans une couche ouverte elle-même publiée sous ODbL.,"Oui, mais sous ODbL uniquement","nom, type, amenity, coordonnées",Point,Variable selon la contribution locale,Non intégré à ce jour — décision de licence,
SRC-013,Intégrée,UNFPA via OCHA HDX,"Haiti - Subnational Population Statistics (COD-PS), référence 2024",https://data.humdata.org/dataset/cod-ps-hti,"CSV (adm0-2, sexe et âge)",140 communes — jointure p-code 140/140 vérifiée,annuelle,2026-08-11,CC BY-IGO,A — redistribution autorisée avec attribution,autorisée avec attribution UNFPA/OCHA,"T_TL, F_TL, M_TL et les 51 colonnes par sexe et tranche quinquennale (17 tranches, la dernière ouverte)",ADM2_PCODE aligné COD-AB CNIGS 2018,"projection officielle, statut Atmart E (estimation)","build_population.py (total) et build_pyramide.py (structure par âge et sexe) — empreintes vérifiées, zone source horodatée",https://data.humdata.org/organization/unfpa
SRC-014,Identifiée — non ouverte,"LAPOP Lab / Center for Global Democracy, Vanderbilt University","AmericasBarometer — enquête d'opinion publique : démocratie, confiance institutionnelle, sécurité, corruption, participation politique",https://www.vanderbilt.edu/lapop/,"SPSS et Stata par pays, téléchargement sans frais","Enquête par sondage, échantillon national — aucune désagrégation communale garantie","Par vague, environ tous les deux ans",2026-08-12,Termes d'utilisation LAPOP — accès libre et sans frais,"C — accès libre, redistribution INTERDITE : les termes interdisent de transmettre les jeux à des tiers, y compris à une revue",Non — agrégats et scripts reproductibles uniquement,"confiance institutionnelle, perception de la sécurité, corruption, participation, soutien à la démocratie","National, strates selon la vague — à vérifier avant tout usage territorial","A — enquête académique standardisée, pondérations publiées",À construire — agrégats seulement. LAPOP et Vanderbilt sont UNE seule source : le projet est hébergé et réalisé par l'université. Ne pas créer deux entrées.,centerforglobaldemocracy@vanderbilt.edu
SRC-015,Identifiée — non ouverte,Banque mondiale,World Development Indicators (WDI),https://datacatalog.worldbank.org/search/dataset/0037712/World-Development-Indicators,"CSV, Excel, API","National — Haïti dans les séries pays, aucune désagrégation infranationale",Annuelle — métadonnées mises à jour le 20/07/2026,2026-08-12,CC BY 4.0,A — redistribution autorisée avec attribution,Autorisée avec attribution Banque mondiale,"séries macroéconomiques, démographiques, sociales et environnementales nationales",Pays,"B — compilation de sources nationales, ruptures de séries fréquentes","À construire — API ou CSV, série par indicateur",https://datahelpdesk.worldbank.org
SRC-016,Identifiée — non ouverte,Banque mondiale,"Microdata Library — catalogue d'enquêtes ; 76 études référencées avec le filtre pays Haïti le 12/08/2026, jeux mondiaux couvrant Haïti compris",https://microdata.worldbank.org/index.php/catalog,"Microdonnées, questionnaires, rapports — selon l'étude",Variable selon l'enquête,Continue,2026-08-12,"Variable selon l'étude : Public use, Licensed, ou Direct access","C — à statuer étude par étude ; par défaut, redistribution des microdonnées interdite",Non par défaut — chaque étude porte ses propres conditions,"conditions de vie, emploi, entreprises, enquêtes téléphoniques à haute fréquence, perception",Selon l'étude,À évaluer étude par étude,"À construire — inventorier les études Haïti, statuer sur chaque licence avant tout usage",
SRC-017,Identifiée — non ouverte,Banque mondiale,Enterprise Surveys — Haïti 2019,https://www.enterprisesurveys.org,"Microdonnées et indicateurs agrégés, sur inscription","Entreprises formelles. D'après la note d'orientation Atmart, l'édition 2019 se concentre sur l'aire métropolitaine (Port-au-Prince, Delmas, Pétion-Ville, Tabarre) : à confirmer à la source, et à ne jamais présenter comme représentative de toutes les entreprises du pays",Irrégulière,,À vérifier,C — à confirmer : accès sur inscription probable,À confirmer avant publication,"climat des affaires, accès au financement, énergie, productivité, emploi formel",Aire métropolitaine — à confirmer,À évaluer — représentativité géographique limitée,À construire. Page pays non atteinte le 12/08/2026 (page d'accueil seulement) : retrouver l'URL Haïti avant toute exploitation.,
SRC-018,Identifiée — non ouverte,Banque mondiale,"Global Findex — inclusion financière ; éditions depuis 2011, édition 2025 en ligne",https://www.worldbank.org/en/publication/globalfindex,Base et rapports téléchargeables,Couverture d'Haïti à confirmer — non mentionnée sur la page de présentation consultée,Environ tous les trois ans,2026-08-12,À vérifier — non affichée sur la page de présentation,B — à confirmer,À confirmer avant publication,"compte bancaire et mobile money, écart femmes-hommes, accès au crédit, transferts",Pays,"B — enquête par sondage, échantillon national",À construire — vérifier d'abord qu'Haïti figure dans l'édition retenue,
SRC-019,Identifiée — non ouverte,IHSI avec l'appui de la Banque mondiale,"ECVMAS — Enquête sur les conditions de vie des ménages après le séisme, 2012-2013",https://microdata.worldbank.org/index.php/catalog,"Microdonnées, accès par le catalogue Microdata Library","Ménages — consommation, pauvreté, emploi, agriculture, éducation, logement, accès aux services",Ponctuelle,,À vérifier — conditions portées par la fiche d'étude du catalogue,"C — à confirmer : accès sur inscription probable, redistribution des microdonnées interdite","Non — agrégats seulement, sous réserve de la fiche d'étude","consommation, pauvreté, emploi, activités agricoles, logement, accès aux services",Département et milieu de résidence — pas la commune,A — enquête nationale standardisée,"À construire — passer par SRC-016, statuer sur la licence de l'étude, ne produire que des agrégats",
SRC-020,Identifiée — non ouverte,The DHS Program,"SPA — Évaluation de la prestation des services de santé, Haïti 2013 et 2017-2018",https://dhsprogram.com,Microdonnées sur inscription,"Établissements de santé — services offerts, équipements, personnel, médicaments",Par vague,,Conditions DHS,"C — accès sur inscription, redistribution des microdonnées INTERDITE",Non — agrégats et scripts reproductibles uniquement,"disponibilité des services, préparation des établissements, ressources humaines, équipements","Établissement, département",A — enquêtes standardisées,"À construire. Séparée de SRC-008 (EMMUS/DHS) : même programme, unité d'analyse différente — l'établissement de santé, pas le ménage. Page pays en 403 le 12/08/2026.",archive@dhsprogram.com
SRC-021,Identifiée — non ouverte,IHSI,"Recensements généraux de la population et de l'habitat — 1971, 1982, 2003",https://ihsi.gouv.ht,"Publications et tableaux, format selon le millésime","Dénombrement national. Le cinquième recensement n'a pas eu lieu : toute valeur postérieure à 2003 publiée ici est une estimation ou une projection, jamais un dénombrement","Décennale en principe, non tenue depuis 2003",,À vérifier,B — à confirmer : agrégats et transformations probablement autorisés,À confirmer avant publication,"population, ménages, logements, structure par âge et sexe, migrations internes","Département, commune, section communale selon le millésime","A pour le dénombrement, sous réserve de la qualité de saisie des millésimes anciens","À construire — reconstitution des tableaux, harmonisation des découpages territoriaux entre 1971, 1982 et 2003",
SRC-022,Identifiée — non ouverte,MARNDR avec l'appui de la FAO,RGA — Recensement général de l'agriculture 2008-2009,https://www.fao.org/world-census-agriculture/,Rapports et tableaux ; données détaillées sur autorisation,"Exploitations agricoles — terres, irrigation, cultures, élevage, équipements, travail agricole",Ponctuelle,,À vérifier,D — convention nécessaire pour les données détaillées ; métadonnées et résultats publiés exploitables,"Résultats publiés seulement, sous réserve de vérification","exploitations, superficies, cultures, cheptel, irrigation, équipements",Département et commune selon les tableaux publiés,"À évaluer — millésime ancien, à confronter aux enquêtes récentes",À construire. L'URL du round 2010 du programme mondial renvoie 404 le 12/08/2026 : retrouver la page pays Haïti avant toute exploitation.,
SRC-023,Identifiée — non ouverte,Fonds National de l'Éducation,"Chantiers, financements et interventions éducatives — publications du domaine fne.gouv.ht : rapports PAEF, redressement institutionnel, communiqués, appels d'offres",https://fne.gouv.ht/,HTML et PDF ; aucun jeu de données structuré publié,"315 URL publiées par le domaine au 13/08/2026, de mars 2017 à août 2026. L'enquête PAEF couvre 422 écoles dans 24 communes de 6 départements, et 6 244 familles dans 65 communes de 7 départements — deux périmètres distincts, à ne jamais confondre. Échantillon non probabiliste : aucune représentativité nationale",Continue,2026-08-13,Aucune licence ouverte trouvée au 13/08/2026 — la page de mentions légales ne porte aucune condition de réutilisation ; seule figure la mention « © 2026 Fonds National de l'Éducation »,"C — accès public, redistribution non présumée. Usage commercial à confirmer","Agrégats et faits cités uniquement, en attendant confirmation écrite du FNE","interventions et chantiers scolaires, subventions institutionnelles, enquête PAEF (écoles et familles affectées par l'insécurité), montants annoncés",Département et commune selon les publications ; aucune coordonnée géographique publiée,B pour les faits institutionnels datés ; l'enquête PAEF est non probabiliste et ne mesure pas le pays,"build_fne_inventaire.py et build_fne_extraction.py — zone source horodatée, empreintes SHA-256, chaque fait vérifié contre la page citée. Domaine protégé par un défi Cloudflare : accès par navigateur. ATTENTION : le domaine publie des listes nominatives (bénéficiaires, parents d'élèves, enquêteurs) — inventoriées, jamais moissonnées, jamais publiées",info@fne.gouv.ht
SRC-024,,MEF / Direction Générale du Budget (DGB),"Budget de la République — décret budgétaire, TOFE mensuels, dépenses exécutées par section et article",https://budget.gouv.ht/,PDF (portail citoyen),"national, par ministère et article — AUCUNE ventilation par département ou commune publiée",annuelle (budget) + mensuelle (TOFE),2026-08-14,documents publics d'État — licence non déclarée,"B — faits extraits citables, republication des PDF à confirmer",chiffres citables avec attribution MEF/DGB,"dépenses votées et exécutées, recettes, TOFE, exercice fiscal oct-sep",national uniquement,source officielle ; extraction PDF nécessaire ; votée ≠ exécutée,à construire — extraction des TOFE et tableaux d'exécution,via mef.gouv.ht
SRC-025,suivie,Compilation Perplexity.ai (multi-sources web),Répertoire des notaires et arpenteurs d'Haïti (712 fiches contemporaines),remise par le propriétaire — scellée dans atmart-datasets/source_annuaire/2026-08-14_SRC-025,XLSX + DOCX,338 notaires + 374 arpenteurs ; ~la moitié des ~1 500 professionnels estimés,ponctuelle (août 2026),2026-08-14,compilation de sources publiques web ; URLs sources par fiche,"C — compilation secondaire assistée par IA, non recoupée avec le registre MJSP (non publié)",faits citables fiche par fiche avec leur niveau de fiabilité affiché ; ne pas présenter comme registre officiel,"nom, profession, commune/juridiction, adresse, téléphones, fiabilité, URLs sources",commune déclarée (77 % rattachées au référentiel),hétérogène — 3 niveaux de fiabilité portés par fiche ; 226 fiches écartées à la compilation,"build_annuaire_professionnels.py — empreintes vérifiées, rattachement par nom, jamais deviné",registre de référence : MJSP et greffes des 18 juridictions (non publié)
SRC-026,suivie,OCHA Haïti (via HDX),3W — présence opérationnelle des organisations humanitaires et de développement,https://data.humdata.org/dataset/haiti-operational-presence,XLSX,1 457 déclarations org×commune×secteur ; 126 organisations ; 140 communes,périodique (dernier : juin 2026),2026-08-14,CC BY (Creative Commons Attribution),A — licence ouverte explicite,libre avec attribution OCHA,"organisation, type (ONG intl/nat, ONU, gouvernement), secteur, commune, p-codes",commune (p-codes officiels fournis),"déclaratif auprès des clusters — la présence humanitaire, pas toutes les organisations du pays",build_presence_3w.py — jointures refaites depuis les tables littérales du fichier,ochahaiti@un.org
SRC-027,suivie,MPCE / UCAONG,Registre officiel des ONG enregistrées en Haïti,https://mpce.gouv.ht/registre-des-ong_/,"HTML (tableau en ligne, aucun export offert)",680 ONG au registre (tous statuts administratifs),continue,2026-08-14,registre public d'État — licence non déclarée,B — faits extraits citables avec attribution ; capture HTML scellée,citable avec attribution MPCE/UCAONG et date de capture,"nom, sigle, no. d'inscription, date de reconnaissance, domaine, zones d'intervention, nationalité, Moniteur",zones en texte libre — départements et communes reconnus par extraction (470/680),officiel mais texte libre ; graphies multiples normalisées sans effacer la source,"build_registre_ong.py — capture du 14/08/2026, empreinte vérifiée",via mpce.gouv.ht
SRC-028,suivie,Humanitarian OpenStreetMap Team (HOT) via HDX,"Couches OSM Haïti : points d'intérêt, services financiers, lieux habités, routes","https://data.humdata.org/dataset/hotosm_hti_points_of_interest (+financial_services, populated_places, roads)",GeoJSON + GeoPackage,"tout le pays, qualité contributive inégale ; extraits du 06/08/2026",continue (extraits réguliers HOT),2026-08-14,ODbL — © contributeurs OpenStreetMap,"A — licence ouverte explicite, partage à l'identique des bases dérivées",libre avec attribution OSM et maintien ODbL sur les dérivés,"amenity (fuel, bank, money_transfer…), place, highway, géométries",coordonnées — affectées aux communes par point-dans-polygone COD-AB (tolérance ~100 m),"contributif : complet nulle part, inégal partout — un zéro mesure la cartographie, pas le terrain",build_infrastructures_communes.py — routes affectées au sommet médian (ordre de grandeur),hot@hotosm.org
SRC-029,suivie,Water Point Data Exchange (WPdx) via HDX,Points d'eau d'Haïti — statut fonctionnel déclaré,https://data.humdata.org/dataset/wpdx_hti,CSV,6 276 points géolocalisés ; couverture concentrée Nord et Centre (Haiti Outreach 92 %),périodique (dernier : 26/07/2026),2026-08-14,CC BY-SA,"A — licence ouverte explicite, partage à l'identique",libre avec attribution WPdx et maintien CC BY-SA sur les dérivés,"statut fonctionnel (oui/non), source d'eau, technologie, installateur, année",coordonnées — affectées aux communes par point-dans-polygone,"déclaratif terrain, suit les zones des contributeurs — l'absence de point n'est pas l'absence d'eau",build_infrastructures_communes.py — empreintes vérifiées au manifeste,info@waterpointdata.org
SRC-030,suivie,OpenStreetMap via Overpass,"Objets électriques d'Haïti (centrales, sous-stations, générateurs)","https://overpass-api.de/api/interpreter — requête power, zone Haïti, 14/08/2026",JSON (capture scellée),74 objets dans tout le pays — l'OSM haïtien recense TRÈS peu d'électricité,ponctuelle (requête datée),2026-08-14,ODbL — © contributeurs OpenStreetMap,A — licence ouverte explicite,libre avec attribution OSM,"power (plant/substation/generator), generator:source, coordonnées",coordonnées — affectées aux communes,ce comptage dit surtout ce qui N'EST PAS cartographié ; aucune carte officielle ouverte du réseau EDH,build_infrastructures_communes.py,—
SRC-031,suivie,OpenCelliD (Unwired Labs) / GSMA / Ookla,Antennes mobiles OpenCelliD (MCC 372) — 7 antennes : base quasi vide pour Haïti,https://opencellid.org/downloads.php ; https://www.gsma.com/coverage/ ; Ookla Open Data (AWS),"CSV (OpenCelliD, CC BY-SA) ; rasters (GSMA, propriétaire)","7 antennes dans tout le pays (extrait 14/08/2026) — mesure la participation, pas le réseau",continue,2026-08-14,OpenCelliD : CC BY-SA (compte gratuit requis) ; GSMA : propriétaire ; Ookla : ouverte (tuiles),A — CC BY-SA ; téléchargé le 14/08/2026 avec le compte du propriétaire (jeton jamais stocké),à déterminer après accès,"antennes (MCC 372), technologie, coordonnées estimées",coordonnées estimées par participation — prudence sur la précision,intégrée le 14/08/2026 avec sa limite en clair ; pour une vraie couverture : tuiles Ookla ouvertes (piste suivante) ou cartes opérateurs (fermées),build_infrastructures_communes.py — empreinte au manifeste,support@unwiredlabs.com
SRC-032,suivie,OIM — Displacement Tracking Matrix (via HDX),"Personnes déplacées internes présentes, par département et commune",https://data.humdata.org/dataset/hti-iom-dtm-from-api,CSV (API DTM),dernière ronde par entité ; historique depuis 2021,mensuelle à trimestrielle,2026-08-14,conditions OIM — attribution requise,"B — données publiées sur HDX, attribution",citable avec attribution OIM/DTM et date de ronde,"personnes déplacées présentes, ronde, date de rapport, p-codes",département et commune (p-codes fournis),recensement des sites accessibles à l'OIM — pas un registre exhaustif,"build_conjoncture.py — dernière ronde par entité, date affichée",dtm@iom.int
SRC-033,suivie,IPC — Cadre intégré de classification de la sécurité alimentaire,"Phases d'insécurité alimentaire aiguë par zone, situation et projections",https://data.humdata.org/dataset/haiti-acute-food-insecurity-country-data,CSV + GeoJSON,zones d'analyse IPC (départements + zones urbaines) ; analyse mars 2026,semestrielle,2026-08-14,CC0 — domaine public,A — aucune restriction,libre ; citer l'IPC et la date d'analyse reste la bonne pratique,"phase (1-5), personnes, pourcentage, période de validité, projections",zone IPC — p-code départemental extrait du libellé,"classification d'experts, pas un comptage direct ; découpage propre à l'IPC",build_conjoncture.py,via ipcinfo.org
SRC-034,suivie,ACLED via HDX,Événements de violence politique et décès par commune et par mois,https://data.humdata.org/dataset/haiti-acled-conflict-data,XLSX (agrégats HDX),"140 communes × mois, 2018 → 13/08/2026 ; 7 929 événements",hebdomadaire,2026-08-14,conditions ACLED — attribution acleddata.com obligatoire,B — agrégats publics HDX ; conditions ACLED sur la feuille TOU scellée,agrégats citables avec attribution ACLED ; pas de revente des données brutes,"événements, décès, commune (p-code), mois",commune (p-codes fournis par ACLED),événements RAPPORTÉS — la couverture médiatique varie selon les zones,build_conjoncture.py — série mensuelle complète publiée,admin@acleddata.com
SRC-035,suivie,CNIGS via HaitiData (geoserver WFS),"Bassins versants SRTM 2014, sous-bassins, zones inondables, occupation du sol 1998","https://haitidata.org/geoserver/ows — WFS GetFeature, EPSG:4326",GeoJSON (WFS),31 bassins + 209 sous-bassins ; 129 zones inondables ; 2 308 polygones d'occupation (1998),figée (couches d'archive du géoportail),2026-08-14,données publiques CNIGS — attribution ; licence non déclarée couche par couche,"B — géoportail public national, capture scellée par empreintes",citable avec attribution CNIGS/HaitiData et date de téléchargement,"nom et code de bassin, classes d'occupation (desc_ocs), géométries",polygones — % communaux calculés par échantillonnage ~330 m (ordre de grandeur),zone_inondable sans méthode documentée (PAS un aléa probabiliste) ; occupation datée de 1998,"build_geo_publique.py — % inondable et % occupation par commune, couches web simplifiées",via cnigs.ht
